country,site,lon,lat,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,tmean,trange,sal_mean,pp_mean,pp_range,Abudefduf.saxatilis,Anthias.anthias,Apogon.imberbis,Atherina.boyeri,Balistes.capriscus,Belone.belone,Belonidae.sp.,Boops.boops,Caranx.crysos,Cheilodipterus.novemstriatus,Chelon.labrosus,Chromis.chromis,Clupeidae,Conger.conger,Coris.julis,Ctenolabrus.rupestris,Dactylopterus.volitans,Dasyatis.pastinaca,Dentex.dentex,Dicentrarchus.labrax,Dicentrarchus.punctatus,Diplodus.annularis,Diplodus.cervinus,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.aeneus,Epinephelus.caninus,Epinephelus.costae,Epinephelus.marginatus,Fistularia.commersonii,Gobius.auratus,Gobius.bucchichi,Gobius.cobitis,Gobius.cruentatus,Gobius.geniporus,Gobius.paganellus,Gobius.vittatus,Gobius.xanthocephalus,Herklotsichthys.punctatus,Labridae.sp.,Labrus.merula,Labrus.mixtus,Labrus.viridis,Lagocephalus.sceleratus,Lichia.amia,Lithognathus.mormyrus,Liza.aurata,Mugil.cephalus,Mullus.barbatus,Mullus.surmuletus,Muraena.helena,Mycteroperca.rubra,Myliobatis.aquila,Oblada.melanura,Oedalechilus.labeo,Pagellus.acarne,Pagrus.caeruleostictus,Pagrus.pagrus,Parablennius.gattorugine,Parablennius.incognitus,Parablennius.pilicornis,Parablennius.rouxi,Parablennius.sanguinolentus,Parablennius.tentacularis,Parablennius.zvonimiri,Parupeneus.forsskali,Pempheris.vanicolensis,Phycis.phycis,Plotosus.lineatus,Pomadasys.incisus,Pomatomus.saltatrix,Pomatoschistus.quagga,Pseudocaranx.dentex,Pteragogus.pelycus,Sardina.pilchardus,Sargocentron.rubrum,Sarpa.salpa,Scartella.cristata,Scarus.ghobban,Sciaena.umbra,Scorpaena.maderensis,Scorpaena.notata,Scorpaena.porcus,Scorpaena.scrofa,Seriola.dumerili,Serranus.cabrilla,Serranus.hepatus,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Sparisoma.cretense,Sparus.aurata,Sphyraena.chrysotaenia,Sphyraena.sphyraena,Sphyraena.viridensis,Spicara.maena,Spicara.smaris,Spondyliosoma.cantharus,Stephanolepis.diaspros,Symphodus.cinereus,Symphodus.doderleini,Symphodus.mediterraneus,Symphodus.melanocercus,Symphodus.ocellatus,Symphodus.roissali,Symphodus.rostratus,Symphodus.spp.,Symphodus.tinca,Synodus.saurus,Taeniura.grabata,Thalassoma.pavo,Torquigener.flavimaculosus,Trachinotus.ovatus,Trachurus.mediterraneus,Tripterygion.delaisi,Tripterygion.melanurus,Tripterygion.tripteronotus,Trisopterus.minutus
Italy,Asinara,8.24,41.049,Autumn,YES,2,15000,15000,2002,1,18.64263621,11.82990915,38.04644012,4.905e-4,0.002456025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
Italy,Asinara,8.218,41.038,Autumn,YES,2,15000,15000,2002,1,18.64699988,11.80136368,38.04644012,4.40977e-4,0.002220887,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
Italy,Asinara,8.349,41.091,Autumn,YES,2,15000,15000,2002,1,18.65027272,11.91163627,38.07247925,4.96758e-4,0.00278514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
Italy,Asinara,8.217,41.121,Autumn,YES,3,15000,15000,2002,1,18.66699999,11.69663646,38.06177902,3.02162e-4,0.00142425,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Italy,Asinara,8.217,41.024,Autumn,YES,3,15000,15000,2002,1,18.64699988,11.80136368,38.04644012,4.40977e-4,0.002220887,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Italy,Asinara,8.212,41.005,Autumn,YES,3,15000,15000,2002,1,18.65683317,11.84308338,38.04644012,4.76112e-4,0.002490288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
Italy,Linosa,12.879812,35.870092,Autumn,YES,1,NA,NA,2002,2,20.37840023,11.69460001,37.59771729,1.99784e-4,9.06069e-4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
Italy,Linosa,12.87981,35.87009,Autumn,YES,1,NA,NA,2002,2,20.37840023,11.69460001,37.59771729,1.99784e-4,9.06069e-4,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
Italy,Lampedusa,12.633,35.501,Spring,YES,1,NA,NA,2002,5,20.45587516,11.92212498,37.55890656,4.47801e-4,0.001534113,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0
Italy,Lampedusa,12.604,35.526,Autumn,YES,1,NA,NA,2002,5,20.43670025,11.90839996,37.55890656,4.44866e-4,0.001624342,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0
