lon,lat,BO_sstmean,BO_sstrange,BO2_salinitymean_ss,BO2_ppmean_ss,BO2_pprange_ss
7.898180497,41.07740853,18.7029089494185,11.587363676591353,37.70513916015625,4.334517288953066e-4,0.002214496891776269
8.194,41.062,18.652090766213156,11.744636448946865,37.772979736328125,4.783309070097113e-4,0.002310941842469302
8.204,41.055,18.64699987931685,11.801363684914328,37.772979736328125,4.8617832627232104e-4,0.002301019320095127
8.217,41.121,18.666999990289863,11.696636460044168,37.76997756958008,4.667937305798246e-4,0.0022636625958098607
8.201,41.043,18.64699987931685,11.801363684914328,37.772979736328125,4.8617832627232104e-4,0.002301019320095127
8.217,41.024,18.64699987931685,11.801363684914328,37.772979736328125,4.8617832627232104e-4,0.002301019320095127
8.155,41,18.657249927520752,11.694500048955282,37.74476623535156,4.8339686084849137e-4,0.00237559857002149
8.212,41.005,18.656833171844482,11.843083381652832,37.772979736328125,4.946895569446497e-4,0.002312800905201584
8.195,41.825,18.66545434431596,11.83109101382169,37.83133316040039,4.151768410917033e-4,0.0019665272821756926
8.24,41.049,18.642636212435637,11.829909151250666,37.772979736328125,4.88898671888323e-4,0.002280538541857492
8.218,41.038,18.64699987931685,11.801363684914328,37.772979736328125,4.8617832627232104e-4,0.002301019320095127
8.349,41.091,18.650272716175426,11.911636265841397,37.79304122924805,5.011031621093439e-4,0.002195736753161658
12.879812,35.870092,20.378400230407713,11.694600009918213,37.617584228515625,5.463008012156934e-4,0.0017619195976294577
12.87981,35.87009,20.378400230407713,11.694600009918213,37.617584228515625,5.463008012156934e-4,0.0017619195976294577
12.633,35.501,20.455875158309937,11.922124981880188,37.54130554199219,5.421952373581007e-4,0.001754264798364602
12.604,35.526,20.43670024871826,11.908399963378907,37.54130554199219,5.406904267147184e-4,0.001752238697372377
14.324,35.943,20.5431001663208,11.656300067901611,37.707218170166016,6.438739772420376e-4,0.002104046242311597
14.515,35.906,20.55890026092529,11.764400005340576,37.72467041015625,6.293228187132626e-4,0.00203557841014117
30.436,36.237,22.14570007324219,12.448200130462647,39.236629486083984,0.0019595803576521577,0.00418731621466577
30.462,36.256,22.18862509727478,12.564250111579895,39.23539352416992,0.002245171432150528,0.004797375702764839
30.479,36.272,22.200500106811525,12.604900074005126,39.23539352416992,0.002481479267589748,0.005190493119880557
