site,lon,lat,Abudefduf.saxatilis,Anthias.anthias,Apogon.imberbis,Atherina.boyeri,Atherina.spp,Balistes.capriscus,Belone.belone,Belonidae,Boops.boops,Caranx.crysos,Cheilodipterus.novemstriatus,Chelon.labrosus,Chromis.chromis,Clupeidae,Conger.conger,Coris.julis,Ctenolabrus.rupestris,Dactylopterus.volitans,Dasyatis.pastinaca,Dentex.dentex,Dicentrarchus.labrax,Dicentrarchus.punctatus,Diplodus.annularis,Diplodus.cervinus,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.aeneus,Epinephelus.caninus,Epinephelus.costae,Epinephelus.marginatus,Fistularia.commersonii,Gobius.auratus,Gobius.bucchichi,Gobius.cobitis,Gobius.cruentatus,Gobius.geniporus,Gobius.paganellus,Gobius.vittatus,Gobius.xanthocephalus,Herklotsichthys.punctatus,Labridae,Labrus.merula,Labrus.mixtus,Labrus.viridis,Lagocephalus.sceleratus,Lichia.amia,Lithognathus.mormyrus,Liza.aurata,Mugil.cephalus,Mullus.barbatus,Mullus.surmuletus,Muraena.helena,Mycteroperca.rubra,Myliobatis.aquila,Oblada.melanura,Oedalechilus.labeo,Pagellus.acarne,Pagrus.caeruleostictus,Pagrus.pagrus,Parablennius.gattorugine,Parablennius.incognitus,Parablennius.pilicornis,Parablennius.rouxi,Parablennius.sanguinolentus,Parablennius.tentacularis,Parablennius.zvonimiri,Parupeneus.forsskali,Pempheris.vanicolensis,Phycis.phycis,Plotosus.lineatus,Pomadasys.incisus,Pomatomus.saltatrix,Pomatoschistus.quagga,Pseudocaranx.dentex,Pteragogus.pelycus,Pterois.miles,Sardina.pilchardus,Sargocentron.rubrum,Sarpa.salpa,Scartella.cristata,Scarus.ghobban,Sciaena.umbra,Scorpaena.maderensis,Scorpaena.notata,Scorpaena.porcus,Scorpaena.scrofa,Seriola.dumerili,Serranus.cabrilla,Serranus.hepatus,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Sparisoma.cretense,Sparus.aurata,Sphyraena.chrysotaenia,Sphyraena.sphyraena,Sphyraena.viridensis,Spicara.maena,Spicara.smaris,Spondyliosoma.cantharus,Stephanolepis.diaspros,Symphodus.cinereus,Symphodus.doderleini,Symphodus.mediterraneus,Symphodus.melanocercus,Symphodus.ocellatus,Symphodus.roissali,Symphodus.rostratus,Symphodus.spp.,Symphodus.tinca,Synodus.saurus,Taeniura.grabata,Thalassoma.pavo,Torquigener.flavimaculosus,Trachinotus.ovatus,Trachinus.draco,Trachurus.mediterraneus,Tripterygion.delaisi,Tripterygion.melanurus,Tripterygion.tripteronotus,Trisopterus.minutus
ALONISSOS,23.779,39.101,0,0,3,0,0,0,0,0,0,0,0,0,260,0,0,62,0,0,0,0,0,0,19,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,4,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
ALONISSOS,23.785,39.108,0,0,8,0,0,0,0,0,0,0,0,0,392,0,0,68,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,5,0,3,0,12,0,0,9,0,0,0,0,0,0,0,0
ALONISSOS,23.829,39.152,0,0,3,0,0,0,0,0,0,0,0,0,650,0,0,42,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,5,0,0,0,8,0,0,5,0,0,0,0,0,0,2,0
ALONISSOS,23.841,39.158,0,0,22,0,0,0,0,0,0,0,0,0,250,0,0,41,0,0,0,0,0,0,7,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,3,0,3,0,6,0,0,15,0,0,0,0,0,0,1,0
ALONISSOS,23.867,39.203,0,0,25,0,0,0,0,0,0,0,0,0,275,0,0,82,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0
ALONISSOS,23.872,39.172,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,32,0,0,0,0,0,0,19,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0
Asinara,8.212,41.005,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,314,0,0,0,0,1,0,0,0,7,262,588,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,95,0,19,1,0,0,39,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,8,59,0,23,0,0,0,0,0,0,0,16,0,0,0,5,0,3,1,49,21,2,0,87,0,0,53,0,0,0,0,1,0,0,0
Asinara,8.217,41.024,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,24,0,0,0,0,0,0,0,0,13,34,192,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,4,4,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,18,0,12,0,0,0,0,0,0,0,104,0,9,0,0,0,0,3,0,7,1,0,42,0,0,25,0,0,0,0,0,0,0,0
Asinara,8.217,41.121,0,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,227,0,0,0,8,0,0,0,0,17,127,387,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,3,0,20,3,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,7,0,0,0,0,0,53,0,30,0,0,0,4,0,0,0,20,0,12,0,0,0,2,5,0,90,2,0,87,0,0,49,0,0,0,0,0,0,0,0
Asinara,8.218,41.038,0,0,0,0,0,0,0,0,40,0,0,0,127,0,0,80,0,0,0,0,0,0,1,0,6,45,73,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,0,3,0,9,1,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4,0,0,3,0,0,36,0,5,0,0,0,0,0,0,0,20,0,50,0,0,0,1,2,0,30,2,0,56,0,0,27,0,0,0,0,1,0,0,0
