"","SpecCode","Species","autoctr","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"64",1693,"Apogon imberbis",8191,1888,93355,"female",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5.5,"TL",NA,NA,NA,NA,NA,NA,"off Blanes","724",13,NA,2,2013-04-29 00:00:00,NA,2013-04-29 00:00:00,NA,NA,NA
"65",1693,"Apogon imberbis",8192,1888,93355,"male",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5.5,"TL",NA,NA,NA,NA,NA,NA,"off Blanes","724",13,NA,2,2013-04-29 00:00:00,NA,2013-04-29 00:00:00,NA,NA,NA
"66",6470,"Epinephelus marginatus",4022,6792,45918,"female",5,17,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Mediterranean (1994-1996)","724",13,"Also Ref. 45918.",1057,2003-02-26 00:00:00,2,2017-11-16 00:00:00,NA,NA,NA
"67",6470,"Epinephelus marginatus",9610,6792,49726,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7000007629395,NA,"SL",49726,43.7999992370605,NA,NA,NA,NA,"Pelagie Islands (1994-1997)","380",13,NA,2,2017-11-16 00:00:00,NA,2017-11-16 00:00:00,NA,NA,NA
"68",6470,"Epinephelus marginatus",9611,6792,49726,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",49726,81.3000030517578,NA,NA,NA,NA,"Pelagie Islands (1994-1997)","380",13,NA,2,2017-11-16 00:00:00,NA,2017-11-16 00:00:00,NA,NA,NA
"69",6470,"Epinephelus marginatus",4370,6792,51466,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",51466,47,NA,NA,NA,NA,"Santa Catarina Island, 1998-2000","076",NA,"Lm = length at which 50% of the females in the population reached maturity. This length conrresponded to a 2,000 g adult.",2,2004-07-27 00:00:00,NA,2004-07-27 00:00:00,NA,NA,NA
"70",6470,"Epinephelus marginatus",4371,6792,51466,"unsexed",5,NA,5550,NA,NA,NA,NA,NA,NA,NA,45,55,"TL",5550,NA,NA,NA,NA,NA,"to be filled","788",NA,"In Tunisia and the Azores, sex reversal occurs when females are about 14-17 years of age and between 80 to 90 cm TL (Ref. 51466).",2,2004-07-27 00:00:00,NA,2004-07-27 00:00:00,NA,NA,NA
"71",6470,"Epinephelus marginatus",9609,6792,94520,"female",5,7,94520,6.30000019073486,NA,NA,NA,NA,6.09999990463257,6.40000009536743,38.5999984741211,54,"TL",NA,49.0999984741211,NA,NA,47.2999992370605,51,"Balearic Islands (1998-2004)","724",1118,NA,2,2017-11-13 00:00:00,NA,2017-11-13 00:00:00,NA,NA,NA
"72",6470,"Epinephelus marginatus",9013,6792,108834,"female",NA,NA,NA,6.30000019073486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balearic Sea (1998-2004)","724",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"73",6470,"Epinephelus marginatus",9012,6792,108834,"female",NA,NA,92674,7,NA,NA,NA,NA,NA,NA,NA,NA,"TL",92674,57,NA,NA,NA,NA,"Eastern Algerian coast (1993-1994)","012",13,NA,2,2016-06-21 00:00:00,2,2017-11-16 00:00:00,NA,NA,NA
