"","country","site","lat","lon","protection","enforcement"
"109","Turkey","gokova",37.031,28.137,"Not protected","0"
"110","Turkey","gokova",37.024,28.055,"Not protected","0"
"111","Turkey","gokova",37.013,28.108,"Not protected","0"
"112","Greece","gyaros",37.583,24.752,"Not protected","0"
"113","Greece","gyaros",37.605,24.65,"Not protected","0"
"114","Greece","gyaros",37.6,24.674,"Not protected","0"
"115","Greece","gyaros",37.633,24.739,"Not protected","0"
"116","Greece","gyaros",37.629,24.705,"Not protected","0"
"117","Greece","gyaros",37.609,24.68,"Not protected","0"
"118","Greece","karpathos",35.879,26.823,"Not protected","0"
"119","Greece","karpathos",35.875,26.823,"Not protected","0"
"120","Greece","karpathos",35.868,27.236,"Not protected","0"
"121","Greece","karpathos",35.861,27.238,"Not protected","0"
"122","Greece","karpathos",35.828,27.207,"Not protected","0"
"123","Greece","karpathos",35.83,27.239,"Not protected","0"
"124","Turkey","kas",36.151,29.617,"Not protected","0"
"125","Turkey","kas",36.141,29.662,"Not protected","0"
"126","Turkey","kas",36.182,29.639,"Not protected","0"
"127","Turkey","kas",36.163,29.629,"Not protected","0"
"128","Turkey","kas",36.188,29.605,"Not protected","0"
"129","Turkey","kas",36.152,29.63,"Not protected","0"
"130","Greece","kimolos",36.754,24.615,"Not protected","0"
"131","Greece","kimolos",36.744,24.634,"Not protected","0"
"132","Greece","kimolos",36.748,24.658,"Not protected","0"
"133","Greece","kimolos",36.751,24.667,"Not protected","0"
"134","Greece","kimolos",36.755,24.548,"Not protected","0"
"135","Greece","kimolos",36.707,24.547,"Not protected","0"
"136","Italy","maratea",39.932,15.743,"Not protected","0"
"137","Italy","maratea",39.943,15.732,"Not protected","0"
"138","Italy","maratea",39.991,15.699,"Not protected","0"
"139","Italy","maratea",40.017,15.674,"Not protected","0"
"140","Italy","maratea",40.038,15.66,"Not protected","0"
"141","Italy","maratea",40.038,15.65,"Not protected","0"
"142","Spain","medes",42.049,3.22,"Protected","3"
"143","Spain","medes",42.044,3.225,"Protected","3"
"144","Spain","medes",42.041,3.227,"Protected","3"
"145","Spain","medes",42.042,3.225,"Protected","3"
"146","Spain","medes",42.043,3.225,"Protected","3"
"147","Spain","medes",42.049,3.223,"Protected","3"
"148","Spain","montgri",42.1,3.186,"Not protected","0"
"149","Spain","montgri",42.096,3.189,"Not protected","0"
"150","Spain","montgri",42.087,3.195,"Not protected","0"
"151","Spain","montgri",42.085,3.197,"Not protected","0"
"152","Spain","montgri",42.073,3.205,"Not protected","0"
"153","Spain","montgri",42.067,3.21,"Not protected","0"
"154","Italy","otranto",40.144,18.507,"Not protected","0"
"155","Italy","otranto",40.137,18.516,"Not protected","0"
"156","Italy","otranto",40.133,18.517,"Not protected","0"
"157","Italy","otranto",40.111,18.518,"Not protected","0"
"158","Italy","otranto",40.106,18.52,"Not protected","0"
"159","Italy","otranto",40.099,18.51,"Not protected","0"
"160","Italy","porto_cesareo",40.247,17.895,"Protected","2"
"161","Italy","porto_cesareo",40.242,17.902,"Protected","2"
"162","Italy","porto_cesareo",40.237,17.906,"Protected","2"
"163","Italy","porto_cesareo",40.212,17.918,"Protected","2"
"164","Italy","porto_cesareo",40.198,17.917,"Protected","2"
"165","Italy","porto_cesareo",40.193,17.918,"Protected","2"
"166","Greece","piperi",39.333,24.327,"Protected","1"
"167","Greece","piperi",39.345,24.329,"Protected","1"
"168","Greece","piperi",39.358,24.334,"Protected","1"
"169","Greece","piperi",39.37,24.331,"Protected","1"
"170","Greece","piperi",39.368,24.322,"Protected","1"
"171","Greece","piperi",39.367,24.331,"Protected","1"
"172","Italy","portofino",44.315,9.158,"Protected","3"
"173","Italy","portofino",44.316,9.162,"Protected","3"
"174","Italy","portofino",44.316,9.165,"Protected","3"
"175","Italy","portofino",44.313,9.166,"Protected","3"
"176","Italy","tavolara",40.876,9.781,"Protected","3"
"177","Italy","tavolara",40.873,9.778,"Protected","3"
"178","Italy","tavolara",40.913,9.743,"Protected","3"
"179","Italy","tavolara",40.911,9.738,"Protected","3"
"180","Italy","tavolara",40.902,9.716,"Protected","3"
"181","Italy","torre_guaceto",40.722,17.789,"Protected","3"
"182","Italy","torre_guaceto",40.719,17.796,"Protected","3"
"183","Italy","torre_guaceto",40.716,17.806,"Protected","3"
"184","Italy","torre_guaceto",40.719,17.799,"Protected","3"
"185","Italy","torre_guaceto",40.714,17.812,"Protected","3"
"186","Italy","torre_guaceto",40.707,17.827,"Protected","3"
"187","Italy","tremiti",42.227,15.544,"Protected","1"
"188","Italy","tremiti",42.223,15.746,"Protected","1"
"189","Italy","tremiti",42.225,15.751,"Protected","1"
"190","Israel","habonim",32.61921,34.91514,"Protected","1"
"191","Israel","habonim",32.61921,34.91514,"Not protected","0"
"192","Israel","shikmona",32.81962,34.94961,"Protected","2"
"193","Israel","shikmona",32.81962,34.94961,"Not protected","0"
"194","Israel","achziv",33.04638,35.07617,"Protected","3"
"195","Israel","achziv",33.04638,35.07617,"Not protected","0"
"196","Israel","gdor",32.41672,34.86692,"Protected","2"
"197","Israel","gdor",32.41672,34.86692,"Not protected","0"
"198","Croatia","brijuni",44.90025,13.76469,"Protected","3"
"199","Croatia","brijuni",44.9017,13.79089,"Protected","3"
"200","Croatia","brijuni",44.9403,13.71567,"Protected","3"
"201","Croatia","brijuni",44.9163,13.7148,"Protected","3"
"202","Croatia","brijuni",44.88691,13.75298,"Protected","3"
"203","Croatia","brijuni",44.91356,13.78153,"Protected","3"
"204","Croatia","brijuni",44.93402,13.74838,"Protected","3"
"205","Croatia","brijuni",44.85758,13.80918,"Not protected","0"
"206","Croatia","brijuni",44.85648,13.80915,"Not protected","0"
"207","Croatia","brijuni",44.85674,13.81704,"Not protected","0"
"208","Croatia","brijuni",44.85301,13.8291,"Not protected","0"
