lon,lat,tmean,trange,sal_mean,pp_mean,pp_range,bathy_mean
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
7.898180497,41.07740853,18.70290895,11.58736368,38.41330338,0,0,-2737
